Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.92495749472505,0.5284008482238577,,16112
Per-Label,Enlarged Cardiomediastinum,0.8292399988692913,0.25165898940336023,,16112
Per-Label,Cardiomegaly,0.9251580895337809,0.7524546290951293,,16112
Per-Label,Lung Opacity,0.783241493254411,0.7995253229409135,,16112
Per-Label,Lung Lesion,0.8488717661818059,0.2256427568604658,,16112
Per-Label,Edema,0.8698480049705253,0.8245019314773281,,16112
Per-Label,Consolidation,0.770367795911026,0.25855710629522727,,16112
Per-Label,Pneumonia,0.853030074877173,0.2104081865566909,,16112
Per-Label,Atelectasis,0.8152361374436656,0.4556636119030361,,16112
Per-Label,Pneumothorax,0.9457146007988174,0.7284264523884427,,16112
Per-Label,Pleural Effusion,0.9109218729316007,0.8946045627059892,,16112
Per-Label,Pleural Other,0.8680904348919055,0.11660466499385747,,16112
Per-Label,Fracture,0.8457188669723862,0.2940776472941988,,16112
Per-Label,Support Devices,0.9227641437666381,0.9436238646849178,,16112
Summary,Mean_Valid_Labels,0.8652257696520057,0.5202964696302439,0.24012157619887337,16112
