Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9592367541065101,0.6656339608563553,,18622
Per-Label,Enlarged Cardiomediastinum,0.8316232971271754,0.2636703452204741,,18622
Per-Label,Cardiomegaly,0.9616707168808918,0.8376702725399108,,18622
Per-Label,Lung Opacity,0.8277316001415014,0.8316309801589619,,18622
Per-Label,Lung Lesion,0.9058783666714163,0.3676028658642258,,18622
Per-Label,Edema,0.9421072414596491,0.8655067603174069,,18622
Per-Label,Consolidation,0.8655867917337539,0.4060668840391915,,18622
Per-Label,Pneumonia,0.9115557161979984,0.24619207340613375,,18622
Per-Label,Atelectasis,0.8235450773147811,0.6573769949523807,,18622
Per-Label,Pneumothorax,0.9774460880206933,0.8893483580363777,,18622
Per-Label,Pleural Effusion,0.9512316261599826,0.943826797222101,,18622
Per-Label,Pleural Other,0.9006254603379257,0.15392513674258682,,18622
Per-Label,Fracture,0.898558617740109,0.4396800899303604,,18622
Per-Label,Support Devices,0.9651717368996263,0.9763357935593373,,18622
Summary,Mean_Valid_Labels,0.9087120779137152,0.6103190937747004,0.21150944366508595,18622
