Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9362252750763145,0.5899242441824164,,14549
Per-Label,Enlarged Cardiomediastinum,0.8300578771491574,0.2397082509530231,,14549
Per-Label,Cardiomegaly,0.9545804392917411,0.7883928208143853,,14549
Per-Label,Lung Opacity,0.813249673170713,0.8238157267130501,,14549
Per-Label,Lung Lesion,0.8846980187981582,0.33913563992871787,,14549
Per-Label,Edema,0.9176628351931397,0.8144882072840496,,14549
Per-Label,Consolidation,0.8273647756180559,0.3548975409215256,,14549
Per-Label,Pneumonia,0.8666251685859528,0.18130261907126147,,14549
Per-Label,Atelectasis,0.8176860680739377,0.4852387068264397,,14549
Per-Label,Pneumothorax,0.9569416899491886,0.7917008079992931,,14549
Per-Label,Pleural Effusion,0.91074603688372,0.9245722087387723,,14549
Per-Label,Pleural Other,0.876595774245789,0.1499400138069757,,14549
Per-Label,Fracture,0.8556577380371055,0.2203859436030781,,14549
Per-Label,Support Devices,0.9225071364950712,0.9394726121724295,,14549
Summary,Mean_Valid_Labels,0.8836141790405747,0.545926810215387,0.23433838416390487,14549
