Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9176558529155457,0.48889346423049657,,18622
Per-Label,Enlarged Cardiomediastinum,0.8072891878626043,0.23623873374426826,,18622
Per-Label,Cardiomegaly,0.9243616201929975,0.7202805015853085,,18622
Per-Label,Lung Opacity,0.7916803514758678,0.7896029602131078,,18622
Per-Label,Lung Lesion,0.8791452680124991,0.2727285978333809,,18622
Per-Label,Edema,0.9035810598467123,0.7840137827958439,,18622
Per-Label,Consolidation,0.8172332337733378,0.3281535740863736,,18622
Per-Label,Pneumonia,0.8427722512278429,0.1367362487287657,,18622
Per-Label,Atelectasis,0.7731229996559669,0.5751761407655277,,18622
Per-Label,Pneumothorax,0.9414996574413557,0.7571937273500001,,18622
Per-Label,Pleural Effusion,0.9063576909624654,0.8909321187955481,,18622
Per-Label,Pleural Other,0.8713921754274638,0.1154402594124835,,18622
Per-Label,Fracture,0.8709184453712004,0.3224940700207628,,18622
Per-Label,Support Devices,0.9196758158238421,0.9429079812664107,,18622
Summary,Mean_Valid_Labels,0.8690489721421216,0.5257708686305913,0.24914362998772302,18622
