Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9422527466144933,0.6262174065046674,,14549
Per-Label,Enlarged Cardiomediastinum,0.8244458469150693,0.26633275183659616,,14549
Per-Label,Cardiomegaly,0.950019870269076,0.7791749026138954,,14549
Per-Label,Lung Opacity,0.8027532746886165,0.820210890498078,,14549
Per-Label,Lung Lesion,0.8573358490978633,0.29154580651397455,,14549
Per-Label,Edema,0.9067131764170324,0.785458860704357,,14549
Per-Label,Consolidation,0.8241653175336718,0.33015975856267354,,14549
Per-Label,Pneumonia,0.8704933555913948,0.19381126143858424,,14549
Per-Label,Atelectasis,0.7930154063062707,0.442593834205858,,14549
Per-Label,Pneumothorax,0.9537930950692065,0.8080713442920179,,14549
Per-Label,Pleural Effusion,0.9209286120409774,0.9332161568499785,,14549
Per-Label,Pleural Other,0.8620310577523109,0.1665057695784161,,14549
Per-Label,Fracture,0.8120066444562017,0.15976091987530963,,14549
Per-Label,Support Devices,0.9315411902745735,0.946251133081291,,14549
Summary,Mean_Valid_Labels,0.8751068173590543,0.539236485468264,0.23518821119205166,14549
