Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9414146908623255,0.5541839292954217,,17822
Per-Label,Enlarged Cardiomediastinum,0.7951161753995752,0.26364380626641404,,17822
Per-Label,Cardiomegaly,0.8692421826538093,0.7763942736000131,,17822
Per-Label,Lung Opacity,0.8131141434249867,0.8143598837769956,,17822
Per-Label,Lung Lesion,0.855287524591954,0.19540087027314662,,17822
Per-Label,Edema,0.8929104748973166,0.7992938654963556,,17822
Per-Label,Consolidation,0.8002677984312252,0.28041518799028226,,17822
Per-Label,Pneumonia,0.8481102026143819,0.14783338067853458,,17822
Per-Label,Atelectasis,0.8084285337285542,0.4672800023418018,,17822
Per-Label,Pneumothorax,0.9455497544550571,0.7181439627405777,,17822
Per-Label,Pleural Effusion,0.9214858097465416,0.9081836101240278,,17822
Per-Label,Pleural Other,0.8697697188071786,0.15240917704627396,,17822
Per-Label,Fracture,0.8737729807727157,0.27817325336295545,,17822
Per-Label,Support Devices,0.9314910435262586,0.950533212077573,,17822
Summary,Mean_Valid_Labels,0.8689972167079915,0.521874886790741,0.2496345021109056,17822
