Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.964256984876507,0.7378105470701256,,14549
Per-Label,Enlarged Cardiomediastinum,0.8465471624239245,0.2902844608417174,,14549
Per-Label,Cardiomegaly,0.9776069006040432,0.8860896886416104,,14549
Per-Label,Lung Opacity,0.8362129491947384,0.8469634987188399,,14549
Per-Label,Lung Lesion,0.8907030274656679,0.35432867344698143,,14549
Per-Label,Edema,0.9409678531686742,0.8651120537259623,,14549
Per-Label,Consolidation,0.8421666776460475,0.37453742122791994,,14549
Per-Label,Pneumonia,0.9051807524356543,0.28435712566839133,,14549
Per-Label,Atelectasis,0.852366910491911,0.5601509611923072,,14549
Per-Label,Pneumothorax,0.9827447818543158,0.9115302048174907,,14549
Per-Label,Pleural Effusion,0.9493956789778015,0.9585176962399128,,14549
Per-Label,Pleural Other,0.8956201634113251,0.18193069867785785,,14549
Per-Label,Fracture,0.8621547095046125,0.2941678169860391,,14549
Per-Label,Support Devices,0.966769097946253,0.9740000393797765,,14549
Summary,Mean_Valid_Labels,0.9080495464286766,0.6085557776167808,0.19705124553765405,14549
