Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9266582274915344,0.4950942816496591,,18622
Per-Label,Enlarged Cardiomediastinum,0.8085092644210695,0.24108456064470593,,18622
Per-Label,Cardiomegaly,0.9285560861734334,0.7243486638157586,,18622
Per-Label,Lung Opacity,0.7902921720468004,0.7885634549519343,,18622
Per-Label,Lung Lesion,0.8694960554227651,0.2795324420199517,,18622
Per-Label,Edema,0.9084941908955968,0.7957760838753957,,18622
Per-Label,Consolidation,0.8182557060567804,0.32926901643647893,,18622
Per-Label,Pneumonia,0.843926405647839,0.13055685189473418,,18622
Per-Label,Atelectasis,0.7676484497080353,0.5543094143575429,,18622
Per-Label,Pneumothorax,0.9427540169814951,0.7597517260324964,,18622
Per-Label,Pleural Effusion,0.9117558237484441,0.900582580813864,,18622
Per-Label,Pleural Other,0.8725629029500945,0.1225806502295628,,18622
Per-Label,Fracture,0.8515593641035113,0.3133809151535342,,18622
Per-Label,Support Devices,0.9196719643083383,0.9431767547587704,,18622
Summary,Mean_Valid_Labels,0.8685814735682672,0.5270005283310277,0.2503883755145607,18622
