Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9334697027996863,0.5209512961464718,,17822
Per-Label,Enlarged Cardiomediastinum,0.7872707321881801,0.26848249444950395,,17822
Per-Label,Cardiomegaly,0.8619179284385045,0.7676252924746522,,17822
Per-Label,Lung Opacity,0.8054966375017416,0.8003314968819281,,17822
Per-Label,Lung Lesion,0.838868705338883,0.17540386945017356,,17822
Per-Label,Edema,0.8655983313145186,0.7602516668364349,,17822
Per-Label,Consolidation,0.8109161803386487,0.29258657976847835,,17822
Per-Label,Pneumonia,0.8588644313533073,0.17731075999301893,,17822
Per-Label,Atelectasis,0.7893901533978165,0.43382834982236096,,17822
Per-Label,Pneumothorax,0.9311952470970501,0.65336879732367,,17822
Per-Label,Pleural Effusion,0.9176144831907724,0.9013164357673863,,17822
Per-Label,Pleural Other,0.8832719866581387,0.1591904541426991,,17822
Per-Label,Fracture,0.8635204867529268,0.23645990726639987,,17822
Per-Label,Support Devices,0.9319906713860456,0.9497336596629757,,17822
Summary,Mean_Valid_Labels,0.8628132626968731,0.5069172185704395,0.25362052471064356,17822
