Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9396909106539156,0.6915787368670362,,11179
Per-Label,Enlarged Cardiomediastinum,0.8481007204518943,0.34434870427043685,,11179
Per-Label,Cardiomegaly,0.9512624242592108,0.8003956858761335,,11179
Per-Label,Lung Opacity,0.8407987123724008,0.8105905884349853,,11179
Per-Label,Lung Lesion,0.8658002515858026,0.3107681346288128,,11179
Per-Label,Edema,0.9271803460200793,0.81010529488259,,11179
Per-Label,Consolidation,0.8277826802069354,0.2877954695777634,,11179
Per-Label,Pneumonia,0.8556877095881116,0.2007495973320202,,11179
Per-Label,Atelectasis,0.8462347655610566,0.5408817756636116,,11179
Per-Label,Pneumothorax,0.9405721420956727,0.7238446250179076,,11179
Per-Label,Pleural Effusion,0.9341201215237206,0.9024464838128383,,11179
Per-Label,Pleural Other,0.8827905288941305,0.17200121484008662,,11179
Per-Label,Fracture,0.8782562485909527,0.3989420587056072,,11179
Per-Label,Support Devices,0.9477209478034778,0.9510387958380633,,11179
Summary,Mean_Valid_Labels,0.8918570364005259,0.567534797553421,0.2227383071990066,11179
