Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9691224191511505,0.8041694591888711,,11227
Per-Label,Enlarged Cardiomediastinum,0.8663932295727936,0.3302634719442985,,11227
Per-Label,Cardiomegaly,0.9679911484280453,0.8585288853693103,,11227
Per-Label,Lung Opacity,0.8652409070661832,0.8560315880105892,,11227
Per-Label,Lung Lesion,0.9003276970915084,0.36004229983518854,,11227
Per-Label,Edema,0.9596357055576346,0.8846080690191003,,11227
Per-Label,Consolidation,0.8465003846831973,0.3119745274019445,,11227
Per-Label,Pneumonia,0.8830503422218093,0.18418640240053738,,11227
Per-Label,Atelectasis,0.8682625332154567,0.595510999932251,,11227
Per-Label,Pneumothorax,0.9811918326461275,0.8999296069895919,,11227
Per-Label,Pleural Effusion,0.9739860341976789,0.9599189097963727,,11227
Per-Label,Pleural Other,0.9448038178810028,0.35914411499698784,,11227
Per-Label,Fracture,0.8936601590039598,0.38933719529128574,,11227
Per-Label,Support Devices,0.9773999690823194,0.9789699457970042,,11227
Summary,Mean_Valid_Labels,0.9212547271284903,0.6266153911409523,0.18739917162924255,11227
