Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9491537296208881,0.6960781386076043,,11227
Per-Label,Enlarged Cardiomediastinum,0.8334516841160428,0.30812862336956603,,11227
Per-Label,Cardiomegaly,0.9321613824216898,0.7225944670082819,,11227
Per-Label,Lung Opacity,0.8432687699754062,0.8303783250941377,,11227
Per-Label,Lung Lesion,0.8706055338544881,0.3059899303169096,,11227
Per-Label,Edema,0.9175450331864144,0.770158847255064,,11227
Per-Label,Consolidation,0.8174847863138267,0.2720964381840699,,11227
Per-Label,Pneumonia,0.8397976090928799,0.12124398295881243,,11227
Per-Label,Atelectasis,0.8179033269654058,0.4796628471960029,,11227
Per-Label,Pneumothorax,0.9444543941727194,0.7421890138257379,,11227
Per-Label,Pleural Effusion,0.9366108162880111,0.8990481120992273,,11227
Per-Label,Pleural Other,0.9091036810544025,0.29653926514928025,,11227
Per-Label,Fracture,0.847166738793431,0.2887550869843499,,11227
Per-Label,Support Devices,0.9335792992479132,0.9378501260418777,,11227
Summary,Mean_Valid_Labels,0.8851633417931085,0.5479080860064943,0.23446239394199564,11227
