Metric_Type,Label,AUROC,AUPRC,BCE_Loss,Samples_Evaluated
Per-Label,No Finding,0.9918638317728413,0.9363341820656905,,11200
Per-Label,Enlarged Cardiomediastinum,0.9309933232132583,0.470490545846318,,11200
Per-Label,Cardiomegaly,0.9931547626263617,0.9648038206160842,,11200
Per-Label,Lung Opacity,0.9562828355530466,0.9521827170681902,,11200
Per-Label,Lung Lesion,0.9629896166290646,0.6631120065112797,,11200
Per-Label,Edema,0.9910738952158122,0.974195116418399,,11200
Per-Label,Consolidation,0.9250277465683358,0.5512822602118954,,11200
Per-Label,Pneumonia,0.9243344972465938,0.3009858083307161,,11200
Per-Label,Atelectasis,0.9728676307041824,0.8994065513283954,,11200
Per-Label,Pneumothorax,0.9959600160600258,0.9717920238831207,,11200
Per-Label,Pleural Effusion,0.9925327689684239,0.9890171013370397,,11200
Per-Label,Pleural Other,0.9411860650506952,0.30218171970774055,,11200
Per-Label,Fracture,0.9635136751188602,0.6429091930062318,,11200
Per-Label,Support Devices,0.995383391121614,0.9959443177020515,,11200
Summary,Mean_Valid_Labels,0.9669402897035084,0.7581883831452253,0.12589541660887854,11200
